date;rua;numero;bairro;condominio;price;area;price_by_sqm;condominium_fee;iptu;rooms;bathrooms;garage;agent;agent_number;latitude;longitude;property_d;url
25/07/17;Silva Correia;165;Vila Nova Conceição;Condomínio Magnum Duplex ;1100000;77;14.285;R$847 ;R$295 ;1;2;2;iQ Imóveis;(11) 3895-4321 ;-23.594.969;-46.678.454;50629243;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-77m2-venda-RS1100000-id-50629243/
25/07/17;ProfessoAtÌ_lio Innocenti;803;Vila Nova Conceição;;1100000;105;10.476;R$970 ;R$1.300 ;3;3;2;Portal Sul Negócios Imobiliários;(11) 97661-6270 ;-23.594.245;-46.679.116;72204359;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-105m2-venda-RS1100000-id-72204359/
25/07/17;Diogo Jacome;830;Vila Nova Conceição;Condomínio Riviera ;1100000;79;13.924;R$600 ;R$199 ;2;3;2;Portal Sul Negócios Imobiliários;(11) 97661-6270 ;-23.598.892;-46.668.812;72205979;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-79m2-venda-RS1100000-id-72205979/
25/07/17;LourenÌ¤o de Almeida;900;Vila Nova Conceição;Condomínio MARIA ELGENIA ;1100000;80;13.750;R$735 ;R$1.000 ;1;2;1;Regina Sandra Consultora de Imóveis;(11) 2275-5469 ;-2.359.506;-46.668.474;82510646;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-80m2-venda-RS1100000-id-82510646/
25/07/17;LourenÌ¤o de Almeida;900;Vila Nova Conceição;Condomínio MARIA ELGENIA ;1100000;80;13.750;R$735 ;R$100 ;1;1;1;UniÌ£o Brokers;(11) 2528-3093 ;-2.359.506;-46.668.474;82772893;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-80m2-venda-RS1100000-id-82772893/
25/07/17;LourenÌ¤o de Almeida;900;Vila Nova Conceição;Condomínio MARIA ELGENIA ;1100000;80;13.750;R$735 ;R$92 ;1;2;1;Roberto Covos Figueiredo;(11) 96666-7000 ;-2.359.506;-46.668.474;82933575;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-80m2-venda-RS1100000-id-82933575/
25/07/17;Diogo Jacome;954;Vila Nova Conceição;Condomínio The Blue Loft ;1100000;78;14.102;R$1.017 ;R$190 ;1;2;2;Roberto Covos Figueiredo;(11) 96666-7000 ;-23.599.884;-46.669.608;78097032;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-78m2-venda-RS1100000-id-78097032/
25/07/17;ProfessoAtÌ_lio Innocenti;957;Vila Nova Conceição;Condomínio EspaÌ¤o Alpha Itaim ;1100000;96;11.458;R$2.300 ;R$400 ;2;2;3;Monica Espada Imoveis;(11) 5908-0031 ;-23.595.427;-4.667.849;83054827;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-96m2-venda-RS1100000-id-83054827/
25/07/17;Presidente Juscelino Kubitschek;1545;Vila Nova Conceição;Condomínio Horizonte Home And Office ;1100000;80;13.750;;;2;2;1;CMB Imóveis;0800-500-1515 ;-23.591.757;-46.683.778;81935972;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-80m2-venda-RS1100000-id-81935972/
25/07/17;Diogo JÌÁcome;554554;Vila Nova Conceição;;1100000;50;22.000;R$1.181 ;R$139 ;1;1;1;Diran Paulo Dias JÌ¼nior;(11) 2495-2609 ;-235.948;-466.663;72560846;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-50m2-venda-RS1100000-id-72560846/
